id,date,question,answer,mood
123,2023-02-18,Are you messy or neat?,ans2,sad
124,2023-02-19,"If you could have superpower just for today, what would it be?",ans2 sdks sdfdsf,sad
125,2023-02-20,When was the last time you went swimming?,ansasd2,happy
9,2023-03-10,Was today typical? Why or why not?,ans1,sad
10,2023-02-24,Who gave you life-changing advice?,ans2,sad
11,2023-02-26,Today you lost ……… .,ans3,negative
12,2023-02-27,What's your favorite accessory?,ans3,sad
13,2023-02-28,Where do you want to travel next?,fed ans4,happy
117,2023-03-01,How much money do you have in your wallet?,ansasd2,happy
118,2023-03-02,Are you emotional or logical?,ansdffas2,positive
119,2023-03-03,If you could live someone else's life for one day who would it be?,ansasd2,sad
120,2023-03-04,Who can you make happier? How?,ans2sss,sad
121,2023-03-05,List three words that sum up today.,ans2,normal
122,2023-03-06,What is your favorite flower or plant?,ansss2,normal
123,2023-03-07,Are you messy or neat?,ans2,normal
124,2023-03-08,"If you could have superpower just for today, what would it be?",anssadsd2,normal
125,2023-03-09,When was the last time you went swimming?,ansasdasd2,sad
9,2023-03-10,Was today typical? Why or why not?,ans1,sad
10,2023-03-11,Who gave you life-changing advice?,ans2,sad
11,2023-03-12,Today you lost ……… .,ans3,negative
12,2023-03-13,What's your favorite accessory?,ans3,sad
13,2023-03-14,Where do you want to travel next?,ans4,happy
14,2023-03-16,Are you a leader or a follower?,ans5,positive
15,2023-03-17,Name one food you can cook with complete confidence?,ans1,sad
16,2023-03-18,Do you owe someone money? Does someone owe you?,ans4,happy
17,2023-03-19,What’s the oldest thing you're wearing today?,ans4,happy
18,2023-03-20,Did you have any memorable dreams  recently?,ans76,happy
19,2023-03-21,Is it possible to love one person for the rest of your life?,ans4,sad
20,2023-03-22,Are you holding a grudge? About?,ansd4,happy
317,2023-03-23,Is there any day you want to choose as a national holiday?,03/23,sad
4,2023-03-24,Is there something you want to discard in your life?,,
13,2023-03-25,Where do you want to travel next?,ans,happy
14,2023-03-26,Are you a leader or a follower?,ans5,positive
15,2023-03-27,Name one food you can cook with complete confidence?,ans1,sad
16,2023-03-28,Do you owe someone money? Does someone owe you?,ans4,happy
17,2023-03-30,What’s the oldest thing you're wearing today?,ans4,happy
9,2023-03-31,Was today typical? Why or why not?,ans1,sad
10,2023-04-01,Who gave you life-changing advice?,ans2,sad
11,2023-04-02,Today you lost ……… .,ans3,negative
12,2023-04-03,What's your favorite accessory?,ans3,sad
13,2023-04-04,Where do you want to travel next?,ans4,happy
